name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,serving_size_g,serving_size_issue,serving_size_g_clean,risk_energy,risk_fat_total,risk_saturated_fat,risk_sodium,risk_sugar,label_konsumsi,alasan_label,garam_g_estimasi,risk_energy_score,risk_fat_total_score,risk_saturated_fat_score,risk_sodium_score,risk_sugar_score,total_risk_score,persen_akg_energi,persen_akg_protein,persen_akg_lemak_total,persen_akg_karbohidrat,persen_akg_serat,persen_akg_natrium,persen_akg_garam,manufacturer_clean
Walens choco soes,PT. nissin biscuit indonesia,2 g,140.0,2.0,14.0,8.0,0.0,0.0,0.0,6.51,3.33,4.31,11.94,0.0,0.0,0.0,0.0,5.0,7.0,12.0,0.0,2.0,0,2.0,Aman,Batasi,Aman,Aman,Aman,Batasi,lemak total %AKG sedang (11.94%),0.0,0,1,0,0,0,1,5.28,3.08,10.67,3.26,0.0,0.0,0.0,PT. nissin biscuit indonesia
Yogurt mixed berry,PT. Greenfield Indonesia,4 g,140.0,4.0,22.0,4.0,0.0,30.0,4.0,6.51,6.67,6.77,5.97,2.0,13.0,0.0,0.0,7.0,0.0,0.0,14.0,4.0,0,4.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (13.00%),0.075,0,0,1,0,0,1,5.28,6.15,5.33,5.12,10.81,2.0,2.0,PT. Greenfield Indonesia
Susu Bear brand gold malt putih,PT. Nestle Indonesia,4 g,120.0,4.0,19.0,1.5,0.0,0.0,0.0,5.58,6.67,5.85,2.24,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0.0,4.0,0,4.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.53,6.15,2.0,4.42,0.0,0.0,0.0,PT. Nestle Indonesia
Carman's bircher muesli,Tidak Diketahui,7.90 g,421.0,14.7,48.1,17.1,16.0,0.0,7.9,19.58,24.5,14.8,25.52,0.0,0.0,0.0,25.0,0.0,0.0,26.0,27.0,7.9,0,7.9,Batasi,Waspada,Aman,Aman,Batasi,Waspada,energi %AKG sedang (19.58%); lemak total %AKG tinggi (25.52%); gula sedang (16.00 g),0.0,1,2,0,0,1,4,15.89,22.62,22.8,11.19,21.35,0.0,0.0,Tidak Diketahui
Nutrisari jus jambu,PT. Nutrifood Indonesia,0 g,60.0,0.0,13.0,1.5,12.0,0.0,0.0,2.79,0.0,4.0,2.24,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (12.00 g),0.0,0,0,0,0,1,1,2.26,0.0,2.0,3.02,0.0,0.0,0.0,PT. Nutrifood Indonesia
Ultra milk low fat source of calcium,"PT. Ultrajaya Milk Industry, Tbk",7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,4.19,11.67,3.38,3.73,7.0,8.0,7.0,12.0,0.0,0.0,0.0,0.0,7.0,0,7.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.2625,0,0,0,0,0,0,3.4,10.77,3.33,2.56,0.0,7.0,7.0,PT. Ultrajaya Milk Industry Tbk.
Piattos Sambal Terasi Flavor,PT. URC Indonesia,2 g,45.0,1.0,13.0,5.0,1.0,140.0,2.0,4.65,1.67,4.0,7.46,9.33,13.0,10.0,0.0,0.0,0.0,8.0,0.0,2.0,0,2.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (13.00%),0.35,0,0,1,0,0,1,1.7,1.54,6.67,3.02,5.41,9.33,9.33,PT. URC Indonesia
Sarimi Gelas Rasa Kari Ayam,PT. Indofood CBP Sukses Makmur Tbk,2 g,70.0,8.0,16.0,8.0,1.0,1110.0,2.0,6.51,13.33,4.92,11.94,74.0,18.0,74.0,14.0,0.0,0.0,0.0,0.0,2.0,0,2.0,Aman,Batasi,Batasi,Waspada,Aman,Waspada,lemak total %AKG sedang (11.94%); lemak jenuh %AKG sedang (18.00%); natrium %AKG tinggi (74.00%),2.775,0,1,1,2,0,4,2.64,12.31,10.67,3.72,5.41,74.0,74.0,PT. Indofood CBP Sukses Makmur Tbk.
Taro net,PT. Tiga Pilar Sejahtera Food Tbk,2 g,80.0,2.0,15.0,2.0,0.0,0.0,0.0,3.72,3.33,4.62,2.99,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.02,3.08,2.67,3.49,0.0,0.0,0.0,PT. Tiga Pilar Sejahtera Food Tbk.
Yoforia Berry smooth,PT. Prima Laktosa,4 g,130.0,4.0,24.0,2.0,20.0,0.0,0.0,6.05,6.67,7.38,2.99,0.0,0.0,0.0,7.0,8.0,7.0,0.0,0.0,4.0,0,4.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (20.00 g),0.0,0,0,0,0,2,2,4.91,6.15,2.67,5.58,0.0,0.0,0.0,PT. Prima Laktosa
Nissin Butter Coconut Biscuits,PT. Serena Indopangan Industri,2 g,100.0,1.0,14.0,5.0,4.0,55.0,2.0,4.65,1.67,4.31,7.46,3.67,0.0,0.0,0.0,0.0,5.0,8.0,7.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.1375,0,0,0,0,0,0,3.77,1.54,6.67,3.26,5.41,3.67,3.67,PT. Serena Indopangan Industri
Herslim,Tidak Diketahui,2 g,10.0,13.0,13.0,1.5,2.0,120.0,2.0,5.58,21.67,4.0,2.24,8.0,0.0,8.0,22.0,0.0,0.0,0.0,7.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.3,0,0,0,0,0,0,0.38,20.0,2.0,3.02,5.41,8.0,8.0,Tidak Diketahui
Indomie rasa kaldu ayam,PT. Indofood CBP Sukses Makmur Tbk.,4 g,110.0,6.0,50.0,12.0,0.0,980.0,4.0,15.81,10.0,15.38,17.91,65.33,45.0,66.0,0.0,0.0,0.0,18.0,0.0,4.0,0,4.0,Batasi,Batasi,Waspada,Waspada,Aman,Waspada,energi %AKG sedang (15.81%); lemak total %AKG sedang (17.91%); lemak jenuh %AKG tinggi (45.00%); natrium %AKG tinggi (65.33%),2.45,1,1,2,2,0,6,4.15,9.23,16.0,11.63,10.81,65.33,65.33,PT. Indofood CBP Sukses Makmur Tbk.
wrp everyday susu bubuk rasa choco hazelnut,Tidak Diketahui,5 g,110.0,5.0,21.0,1.0,0.0,35.0,0.0,5.12,8.33,6.46,1.49,2.33,0.0,0.0,9.0,7.0,6.0,0.0,0.0,5.0,0,5.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0875,0,0,0,0,0,0,4.15,7.69,1.33,4.88,0.0,2.33,2.33,Tidak Diketahui
Ichi ocha,PT. Asahi Indofood Beverage Makmur,0 g,0.0,0.0,26.0,0.0,24.0,35.0,0.0,4.65,0.0,8.0,0.0,2.33,0.0,3.0,0.0,8.0,5.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (24.00 g),0.0875,0,0,0,0,2,2,0.0,0.0,0.0,6.05,0.0,2.33,2.33,PT. Asahi Indofood Beverage Makmur
MR. P Honey Peanuts,PT. Mitrasatrya Perkasautama,7 g,150.0,7.0,5.0,12.0,3.0,0.0,0.0,6.98,11.67,1.54,17.91,0.0,0.0,0.0,12.0,0.0,7.0,18.0,0.0,7.0,0,7.0,Aman,Batasi,Aman,Aman,Aman,Batasi,lemak total %AKG sedang (17.91%),0.0,0,1,0,0,0,1,5.66,10.77,16.0,1.16,0.0,0.0,0.0,PT. Mitrasatrya Perkasautama
Golden Farm mixed vegetable,PT. Sukanda djaya,3 g,70.0,3.0,14.0,1.0,4.0,0.0,0.0,3.26,5.0,4.31,1.49,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,0,3.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,2.64,4.62,1.33,3.26,0.0,0.0,0.0,PT. Sukanda djaya
Yogurt frozen pinkberry (Kecil),Tidak Diketahui,0 g,150.0,6.0,31.0,0.0,30.0,0.0,0.0,6.98,10.0,9.54,0.0,0.0,0.0,0.0,10.0,10.0,7.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (30.00 g),0.0,0,0,0,0,2,2,5.66,9.23,0.0,7.21,0.0,0.0,0.0,Tidak Diketahui
Golden Farm corn kernel,PT. Sukanda djaya,3 g,70.0,3.0,14.0,1.0,3.0,0.0,0.0,3.26,5.0,4.31,1.49,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,0,3.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,2.64,4.62,1.33,3.26,0.0,0.0,0.0,PT. Sukanda djaya
Nutrisari Florida orange,PT.Nutrifood indonesia,0 g,50.0,0.0,13.0,0.0,11.0,0.0,0.0,2.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (11.00 g),0.0,0,0,0,0,1,1,1.89,0.0,0.0,3.02,0.0,0.0,0.0,PT. Nutrifood indonesia
NutriBoost rasa kopi,PT. Coca Cola Amatil,3 g,30.0,3.0,19.0,3.0,14.0,100.0,0.0,5.58,5.0,5.85,4.48,6.67,13.0,7.0,0.0,6.0,0.0,0.0,0.0,3.0,0,3.0,Aman,Aman,Batasi,Aman,Batasi,Batasi,lemak jenuh %AKG sedang (13.00%); gula sedang (14.00 g),0.25,0,0,1,0,1,2,1.13,4.62,4.0,4.42,0.0,6.67,6.67,PT. Coca Cola Amatil
Ultra Sari Kacang Ijo,"PT. Ultrajaya Milk Industry, Tbk",2 g,90.0,2.0,22.0,0.0,0.0,0.0,0.0,4.19,3.33,6.77,0.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.4,3.08,0.0,5.12,0.0,0.0,0.0,PT. Ultrajaya Milk Industry Tbk.
Roma Malkist,PT. Mayora Indah Tbk.,2 g,120.0,2.0,19.0,4.5,3.0,0.0,0.0,5.58,3.33,5.85,6.72,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.53,3.08,6.0,4.42,0.0,0.0,0.0,PT. Mayora Indah Tbk.
Sonice Bakso kuah sapi,PT. So Good Food Manufacturing,8 g,160.0,8.0,20.0,5.0,0.0,0.0,0.0,7.44,13.33,6.15,7.46,0.0,0.0,0.0,14.0,0.0,8.0,8.0,0.0,8.0,0,8.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,6.04,12.31,6.67,4.65,0.0,0.0,0.0,PT. So Good Food Manufacturing
Monde Boromon cookies original flavor,PT. Monde Mahkota Biskuit,0 g,80.0,0.0,18.0,0.0,0.0,10.0,0.0,3.72,0.0,5.54,0.0,0.67,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.025,0,0,0,0,0,0,3.02,0.0,0.0,4.19,0.0,0.67,0.67,PT. Monde Mahkota Biskuit
Keju Lemnos Grated Parmesan,Tidak Diketahui,0 g,38.0,3.3,1.0,5.6,1.0,0.0,0.0,1.77,5.5,0.31,8.36,0.0,0.0,0.0,6.0,0.0,2.0,9.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,1.43,5.08,7.47,0.23,0.0,0.0,0.0,Tidak Diketahui
Good Day Mocacinno,PT. Santos jaya abadi,1 g,20.0,1.0,16.0,2.0,13.0,10.0,1.0,4.19,1.67,4.92,2.99,0.67,10.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Batasi,Aman,Batasi,Batasi,lemak jenuh %AKG sedang (10.00%); gula sedang (13.00 g),0.025,0,0,1,0,1,2,0.75,1.54,2.67,3.72,2.7,0.67,0.67,PT. Santos jaya abadi
kacang garuda roste kacang panggang,PT. GARUDAFOOD PUTRI JAYA,5 g,130.0,5.0,16.0,5.0,0.0,115.0,0.0,6.05,8.33,4.92,7.46,7.67,0.0,8.0,9.0,0.0,0.0,8.0,0.0,5.0,0,5.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.2875,0,0,0,0,0,0,4.91,7.69,6.67,3.72,0.0,7.67,7.67,PT. GARUDAFOOD PUTRI JAYA
Coklat Toblerone,PT. Nirwana Lestari,1 g,130.0,1.0,15.0,7.0,15.0,0.0,0.0,6.05,1.67,4.62,10.45,0.0,0.0,0.0,0.0,5.0,7.0,11.0,0.0,1.0,0,1.0,Aman,Batasi,Aman,Aman,Batasi,Batasi,lemak total %AKG sedang (10.45%); gula sedang (15.00 g),0.0,0,1,0,0,1,2,4.91,1.54,9.33,3.49,0.0,0.0,0.0,PT. Nirwana Lestari
Es Krim Walls Cappuccino,Tidak Diketahui,1 g,70.0,1.0,19.0,8.0,10.0,15.0,1.0,6.98,1.67,5.85,11.94,1.0,30.0,0.0,0.0,0.0,7.0,12.0,0.0,1.0,0,1.0,Aman,Batasi,Waspada,Aman,Batasi,Waspada,lemak total %AKG sedang (11.94%); lemak jenuh %AKG tinggi (30.00%); gula sedang (10.00 g),0.0375,0,1,2,0,1,4,2.64,1.54,10.67,4.42,2.7,1.0,1.0,Tidak Diketahui
Eskrim cornetto oreo,PT. Andrawina Darma Manunggal Mulya,2 g,240.0,2.0,33.0,11.0,20.0,0.0,2.0,11.16,3.33,10.15,16.42,0.0,0.0,0.0,0.0,11.0,12.0,17.0,0.0,2.0,0,2.0,Batasi,Batasi,Aman,Aman,Waspada,Waspada,energi %AKG sedang (11.16%); lemak total %AKG sedang (16.42%); gula tinggi (20.00 g),0.0,1,1,0,0,2,4,9.06,3.08,14.67,7.67,5.41,0.0,0.0,PT. Andrawina Darma Manunggal Mulya
Keripik Qtela ubi ungu,PT. Indofood CBP Sukses Makmur Tbk.,0 g,100.0,0.0,14.0,5.0,3.0,0.0,0.0,4.65,0.0,4.31,7.46,0.0,0.0,0.0,0.0,5.0,5.0,8.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.77,0.0,6.67,3.26,0.0,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Susu Bear brand gold teh putih,PT. Nestle Indonesia,4 g,70.0,4.0,10.0,2.0,0.0,0.0,0.0,3.26,6.67,3.08,2.99,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,4.0,0,4.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,2.64,6.15,2.67,2.33,0.0,0.0,0.0,PT. Nestle Indonesia
Es teh tawar,Tidak Diketahui,0.02 g,2.0,0.02,0.67,0.0,0.0,0.0,0.0,0.09,0.03,0.21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.02,0,0.02,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,0.08,0.03,0.0,0.16,0.0,0.0,0.0,Tidak Diketahui
susu tango kido rasa banana pudding,Tidak Diketahui,10 g,90.0,10.0,15.0,2.5,0.0,140.0,0.0,4.19,16.67,4.62,3.73,9.33,0.0,10.0,17.0,5.0,0.0,0.0,0.0,10.0,0,10.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.35,0,0,0,0,0,0,3.4,15.38,3.33,3.49,0.0,9.33,9.33,Tidak Diketahui
Biskuit WRP Everyday chocolate chip,PT.Nutrifood indonesia,2 g,100.0,1.0,11.0,5.0,0.0,0.0,2.0,4.65,1.67,3.38,7.46,0.0,0.0,0.0,0.0,0.0,5.0,8.0,7.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.77,1.54,6.67,2.56,5.41,0.0,0.0,PT. Nutrifood indonesia
biskuit Lotte choco pie,PT. Lotte Indonesia,1 g,120.0,1.0,19.0,4.5,10.0,0.0,0.0,5.58,1.67,5.85,6.72,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (10.00 g),0.0,0,0,0,0,1,1,4.53,1.54,6.0,4.42,0.0,0.0,0.0,PT. Lotte Indonesia
Puffies Soes Crunchy Cheese,Tidak Diketahui,1 g,30.0,2.0,6.0,6.0,0.0,120.0,1.0,4.19,3.33,1.85,8.96,8.0,25.0,8.0,0.0,0.0,0.0,9.0,0.0,1.0,0,1.0,Aman,Aman,Waspada,Aman,Aman,Waspada,lemak jenuh %AKG tinggi (25.00%),0.3,0,0,2,0,0,2,1.13,3.08,8.0,1.4,2.7,8.0,8.0,Tidak Diketahui
Pocky double choco,PT. Glico Indonesia,4 g,240.0,4.0,29.0,12.0,9.0,0.0,0.0,11.16,6.67,8.92,17.91,0.0,0.0,0.0,0.0,9.0,12.0,18.0,0.0,4.0,0,4.0,Batasi,Batasi,Aman,Aman,Aman,Batasi,energi %AKG sedang (11.16%); lemak total %AKG sedang (17.91%),0.0,1,1,0,0,0,2,9.06,6.15,16.0,6.74,0.0,0.0,0.0,PT. Glico Indonesia
Mie sedap instan kari spesial,Tidak Diketahui,3 g,130.0,8.0,47.0,14.0,3.0,1060.0,3.0,16.28,13.33,14.46,20.9,70.67,0.0,71.0,0.0,0.0,0.0,0.0,0.0,3.0,0,3.0,Batasi,Waspada,Aman,Waspada,Aman,Waspada,energi %AKG sedang (16.28%); lemak total %AKG tinggi (20.90%); natrium %AKG tinggi (70.67%),2.65,1,2,0,2,0,5,4.91,12.31,18.67,10.93,8.11,70.67,70.67,Tidak Diketahui
Jasjus Rasa Lemon,PT. Karunia Alam Segar,0 g,25.0,0.0,6.0,0.0,5.0,15.0,0.0,1.16,0.0,1.85,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0375,0,0,0,0,0,0,0.94,0.0,0.0,1.4,0.0,1.0,1.0,PT. Karunia Alam Segar
Silverqueen Crispy with Milk Chocolate,PT. Perusahaan Industri Ceres,4 g,170.0,4.0,15.0,10.0,11.0,35.0,0.0,7.91,6.67,4.62,14.93,2.33,0.0,0.0,7.0,0.0,8.0,15.0,0.0,4.0,0,4.0,Aman,Batasi,Aman,Aman,Batasi,Batasi,lemak total %AKG sedang (14.93%); gula sedang (11.00 g),0.0875,0,1,0,0,1,2,6.42,6.15,13.33,3.49,0.0,2.33,2.33,PT. Perusahaan Industri Ceres
Susu Ultra Milk Rasa Stroberi,"PT. Ultrajaya Milk Industry, Tbk",6 g,30.0,6.0,22.0,3.5,17.0,50.0,0.0,6.51,10.0,6.77,5.22,3.33,13.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0,6.0,Aman,Aman,Batasi,Aman,Batasi,Batasi,lemak jenuh %AKG sedang (13.00%); gula sedang (17.00 g),0.125,0,0,1,0,1,2,1.13,9.23,4.67,5.12,0.0,3.33,3.33,PT. Ultrajaya Milk Industry Tbk.
Agar-agar double swallow sun,Tidak Diketahui,6 g,25.0,0.0,6.0,0.0,0.0,10.0,6.0,1.16,0.0,1.85,0.0,0.67,0.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,0,6.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.025,0,0,0,0,0,0,0.94,0.0,0.0,1.4,16.22,0.67,0.67,Tidak Diketahui
Cocoa powder Van Houten,PT. Ceres Bandung,6 g,120.0,6.0,15.0,4.0,0.0,0.0,0.0,5.58,10.0,4.62,5.97,0.0,0.0,0.0,10.0,0.0,6.0,6.0,0.0,6.0,0,6.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.53,9.23,5.33,3.49,0.0,0.0,0.0,PT. Ceres Bandung
Nissin Longer Stick Biscuits,Tidak Diketahui,2 g,50.0,2.0,21.0,6.0,5.0,85.0,0.0,6.98,3.33,6.46,8.96,5.67,20.0,0.0,0.0,0.0,7.0,9.0,0.0,2.0,0,2.0,Aman,Aman,Waspada,Aman,Aman,Waspada,lemak jenuh %AKG tinggi (20.00%),0.2125,0,0,2,0,0,2,1.89,3.08,8.0,4.88,0.0,5.67,5.67,Tidak Diketahui
Chicki Taro Net rasa BBQ,PT. Putra Taro Paloma,1 g,90.0,1.0,15.0,2.5,0.0,200.0,0.0,4.19,1.67,4.62,3.73,13.33,0.0,14.0,0.0,5.0,5.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Batasi,Aman,Batasi,natrium %AKG sedang (13.33%),0.5,0,0,0,1,0,1,3.4,1.54,3.33,3.49,0.0,13.33,13.33,PT. Putra Taro Paloma
Chocodrink,PT. Karunia Alam Segar,2 g,20.0,2.0,23.0,2.5,18.0,100.0,0.0,5.58,3.33,7.08,3.73,6.67,0.0,7.0,0.0,8.0,6.0,0.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (18.00 g),0.25,0,0,0,0,1,1,0.75,3.08,3.33,5.35,0.0,6.67,6.67,PT. Karunia Alam Segar
Sariroti roti tawar double soft,PT. Nippon Indosari corporindo Tbk,3 g,140.0,4.0,23.0,3.0,1.0,105.0,3.0,6.51,6.67,7.08,4.48,7.0,0.0,7.0,0.0,8.0,0.0,0.0,10.0,3.0,0,3.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.2625,0,0,0,0,0,0,5.28,6.15,4.0,5.35,8.11,7.0,7.0,PT. Nippon Indosari corporindo Tbk.
Indomie Hype Abis Seblak Hot Jeletot,Tidak Diketahui,7 g,360.0,7.0,44.0,17.0,0.0,1190.0,0.0,16.74,11.67,13.54,25.37,79.33,0.0,80.0,0.0,0.0,17.0,26.0,0.0,7.0,0,7.0,Batasi,Waspada,Aman,Waspada,Aman,Waspada,energi %AKG sedang (16.74%); lemak total %AKG tinggi (25.37%); natrium %AKG tinggi (79.33%),2.975,1,2,0,2,0,5,13.58,10.77,22.67,10.23,0.0,79.33,79.33,Tidak Diketahui
Monde Boromon Cookies milk flavour,PT. Monde Mahkota Biskuit,0 g,0.0,0.0,18.0,0.0,5.0,10.0,0.0,3.72,0.0,5.54,0.0,0.67,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.025,0,0,0,0,0,0,0.0,0.0,0.0,4.19,0.0,0.67,0.67,PT. Monde Mahkota Biskuit
Frisian flag belgian chocolate low fat,PT. Frisian Flag Indonesia,7 g,150.0,7.0,25.0,2.5,19.0,100.0,0.0,6.98,11.67,7.69,3.73,6.67,0.0,0.0,12.0,8.0,7.0,0.0,0.0,7.0,0,7.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (19.00 g),0.25,0,0,0,0,1,1,5.66,10.77,3.33,5.81,0.0,6.67,6.67,PT. Frisian Flag Indonesia
Eskrim Magnum classic,PT. Andrawina Darma Manunggal Mulya,4 g,240.0,3.0,30.0,13.0,18.0,0.0,4.0,11.16,5.0,9.23,19.4,0.0,0.0,0.0,0.0,0.0,12.0,20.0,14.0,4.0,0,4.0,Batasi,Batasi,Aman,Aman,Batasi,Batasi,energi %AKG sedang (11.16%); lemak total %AKG sedang (19.40%); gula sedang (18.00 g),0.0,1,1,0,0,1,3,9.06,4.62,17.33,6.98,10.81,0.0,0.0,PT. Andrawina Darma Manunggal Mulya
Golden Farm french fries,PT. Sukanda djaya,3 g,170.0,3.0,29.0,4.5,0.0,0.0,0.0,7.91,5.0,8.92,6.72,0.0,0.0,0.0,0.0,9.0,8.0,7.0,0.0,3.0,0,3.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,6.42,4.62,6.0,6.74,0.0,0.0,0.0,PT. Sukanda djaya
Yogurt frozen pinkberry (Medium),Tidak Diketahui,0 g,240.0,9.0,50.0,0.0,47.0,0.0,0.0,11.16,15.0,15.38,0.0,0.0,0.0,0.0,15.0,16.0,12.0,0.0,0.0,0.0,1,2.0,Batasi,Aman,Aman,Aman,Waspada,Waspada,energi %AKG sedang (11.16%); gula tinggi (47.00 g),0.0,1,0,0,0,2,3,9.06,13.85,0.0,11.63,0.0,0.0,0.0,Tidak Diketahui
PRONAS Classic chunky corned beef (340 g),PT. CANNING INDONESIAN PRODUCTS,2 g,70.0,8.0,2.0,3.5,0.0,410.0,2.0,3.26,13.33,0.62,5.22,27.33,8.0,28.0,14.0,0.0,0.0,0.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Waspada,Aman,Waspada,natrium %AKG tinggi (27.33%),1.025,0,0,0,2,0,2,2.64,12.31,4.67,0.47,5.41,27.33,27.33,PT. CANNING INDONESIAN PRODUCTS
Indomie rasa soto lamongan,PT. Indofood CBP Sukses Makmur Tbk.,6 g,130.0,10.0,48.0,14.0,4.0,1030.0,6.0,16.74,16.67,14.77,20.9,68.67,35.0,69.0,0.0,0.0,0.0,21.0,0.0,6.0,0,6.0,Batasi,Waspada,Waspada,Waspada,Aman,Waspada,energi %AKG sedang (16.74%); lemak total %AKG tinggi (20.90%); lemak jenuh %AKG tinggi (35.00%); natrium %AKG tinggi (68.67%),2.575,1,2,2,2,0,7,4.91,15.38,18.67,11.16,16.22,68.67,68.67,PT. Indofood CBP Sukses Makmur Tbk.
Elle vire yogurt,PT. Sukanda djaya,0.40 g,90.0,2.3,13.0,3.1,11.0,0.0,0.4,4.19,3.83,4.0,4.63,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,0.4,0,0.4,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (11.00 g),0.0,0,0,0,0,1,1,3.4,3.54,4.13,3.02,1.08,0.0,0.0,PT. Sukanda djaya
pop mie rasa soto ayam dengan nasi,PT. Indofood CBP Sukses Makmur Tbk.,3 g,250.0,7.0,48.0,15.0,5.0,1320.0,3.0,11.63,11.67,14.77,22.39,88.0,0.0,88.0,0.0,15.0,0.0,23.0,0.0,3.0,0,3.0,Batasi,Waspada,Aman,Waspada,Aman,Waspada,energi %AKG sedang (11.63%); lemak total %AKG tinggi (22.39%); natrium %AKG tinggi (88.00%),3.3,1,2,0,2,0,5,9.43,10.77,20.0,11.16,8.11,88.0,88.0,PT. Indofood CBP Sukses Makmur Tbk.
